Tempo,Caixa,Distribuicao,Montagem,Chapa,Fritadeira,Liquidificador,BebidasGerais,EmPreparo
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,1,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,0,0,1,1,0,0,0
61,0,0,0,0,0,0,0,2
62,0,0,0,0,0,0,0,2
63,0,0,0,0,0,0,0,2
64,0,0,0,0,0,0,0,2
65,0,0,0,0,0,0,0,2
66,0,0,0,0,0,0,0,2
67,0,0,0,0,0,0,0,2
68,0,0,0,0,0,0,0,2
69,0,0,0,0,0,0,0,2
70,0,0,0,0,0,0,0,2
71,0,0,0,0,0,0,0,2
72,0,0,0,0,0,0,0,2
73,0,0,0,0,0,0,0,2
74,0,0,0,0,0,0,0,2
75,0,0,0,0,0,0,0,2
76,0,0,0,0,0,0,0,2
77,0,0,0,0,0,0,0,2
78,0,0,0,0,0,0,0,2
79,0,0,0,0,1,0,1,2
80,0,1,0,0,0,0,0,3
81,0,0,0,0,0,0,0,3
82,0,0,0,0,0,0,0,3
83,0,0,0,0,0,0,0,3
84,0,0,0,0,0,0,0,3
85,0,0,0,0,0,0,0,3
86,0,0,0,0,0,0,0,3
87,0,0,0,0,0,0,0,3
88,0,0,0,0,0,0,0,3
89,0,0,0,0,0,0,0,3
90,0,0,0,0,0,0,0,3
91,0,0,0,0,0,0,0,3
92,0,0,0,0,0,0,0,3
93,0,0,0,0,0,0,0,3
94,0,0,0,0,0,0,0,3
95,0,0,0,0,0,0,0,3
96,0,0,0,0,0,0,0,3
97,0,0,0,0,0,0,0,3
98,0,0,0,0,0,0,0,3
99,0,0,0,0,0,0,0,3
100,0,0,0,0,0,0,0,3
101,0,0,0,0,0,0,0,3
102,0,0,0,0,0,0,0,3
103,0,0,0,0,0,0,0,3
104,0,0,0,0,0,0,0,3
105,0,0,0,0,0,0,0,3
106,0,0,0,0,0,0,0,3
107,0,0,0,0,0,0,0,3
108,0,1,0,0,0,0,0,3
109,0,0,0,0,0,0,0,3
110,0,0,0,1,1,2,0,3
111,0,0,0,0,0,0,0,7
112,0,0,0,0,0,0,0,7
113,0,0,0,0,0,0,0,7
114,0,0,0,0,0,0,0,7
115,0,0,0,0,0,0,0,7
116,0,0,0,0,0,0,0,7
117,0,0,0,0,0,0,0,7
118,0,0,0,0,0,0,0,7
119,0,0,0,0,0,0,0,7
120,0,0,0,0,0,0,0,7
121,0,0,0,0,0,0,0,7
122,0,0,0,0,0,0,0,7
123,0,0,0,0,0,0,0,7
124,0,0,0,0,0,0,0,7
125,0,0,0,0,0,0,0,7
126,0,0,0,0,0,0,0,7
127,0,0,0,0,0,0,0,7
128,0,0,0,0,0,0,0,7
129,0,0,0,0,0,0,0,7
130,0,0,0,0,0,0,0,7
131,0,0,0,0,0,0,0,7
132,0,0,0,0,0,0,0,7
133,0,0,0,0,0,0,0,7
134,0,0,0,0,0,0,0,7
135,0,0,0,0,0,0,0,7
136,0,0,0,0,0,0,0,7
137,0,0,0,0,0,0,0,7
138,0,0,0,1,0,0,2,7
139,0,0,0,0,0,0,0,8
140,0,0,0,0,0,0,0,8
141,0,0,0,0,0,0,0,8
142,0,0,0,0,0,0,0,8
143,0,0,0,0,0,0,0,8
144,0,1,0,0,0,0,0,8
145,0,0,0,0,0,0,0,8
146,0,0,0,0,0,0,0,8
147,0,0,0,0,0,0,0,8
148,0,0,0,0,0,0,0,7
149,0,0,0,0,0,0,0,7
150,0,0,0,0,0,0,0,7
151,0,0,0,0,0,0,0,7
152,0,0,0,0,0,0,0,7
153,0,0,0,0,0,0,0,7
154,0,0,0,0,0,0,0,7
155,0,0,0,0,0,0,0,7
156,0,0,0,0,0,0,0,7
157,0,0,0,0,0,0,0,7
158,0,0,0,0,0,0,0,7
159,0,0,0,0,0,0,0,7
160,0,0,0,0,0,0,0,7
161,0,0,0,0,0,0,0,7
162,0,0,0,0,0,0,0,7
163,0,0,0,0,0,0,0,7
164,0,0,0,0,0,0,0,7
165,0,0,0,0,0,0,0,7
166,0,0,0,0,0,0,0,7
167,0,0,0,0,0,0,0,7
168,0,0,0,0,0,0,0,6
169,0,0,0,0,0,0,0,6
170,0,0,0,0,0,0,0,4
171,0,0,0,0,0,0,0,4
172,0,0,0,0,0,0,0,4
173,0,0,0,0,0,0,0,4
174,0,0,0,0,2,1,0,4
175,0,0,0,0,0,1,0,6
176,0,0,0,0,0,1,0,6
177,0,0,0,0,0,0,0,7
178,0,0,0,0,0,0,0,7
179,0,0,0,0,0,0,0,7
180,0,0,0,0,0,0,0,7
181,0,0,0,0,0,0,0,7
182,0,0,0,0,0,0,0,7
183,0,0,0,0,0,0,0,7
184,0,1,0,0,0,0,0,7
185,0,0,0,0,0,0,0,7
186,0,0,0,0,0,0,0,7
187,0,0,0,0,0,0,0,7
188,0,0,0,0,0,0,0,7
189,0,0,0,0,0,0,0,7
190,0,0,0,0,0,0,0,7
191,0,0,0,0,0,0,0,7
192,0,0,0,0,0,0,0,7
193,0,0,0,0,0,0,0,7
194,0,0,0,0,0,0,0,7
195,0,0,0,0,0,0,0,7
196,0,1,1,0,0,0,0,6
197,0,0,0,0,0,0,0,6
198,0,0,0,0,0,0,0,6
199,0,0,0,0,0,0,0,6
200,0,0,0,0,0,0,0,6
201,0,0,0,0,0,0,0,6
202,0,0,0,0,0,0,0,6
203,0,0,0,0,0,0,0,6
204,0,0,0,0,0,0,0,6
205,0,0,0,0,0,0,0,6
206,0,0,0,0,0,0,0,6
207,0,0,0,0,0,0,0,6
208,0,0,0,0,0,0,0,6
209,0,0,0,0,0,0,0,6
210,0,0,0,0,0,0,0,6
211,0,0,0,0,0,0,0,6
212,0,0,0,0,0,0,0,6
213,0,0,0,0,0,0,0,6
214,0,0,0,0,2,1,1,6
215,0,0,0,0,0,0,0,9
216,0,0,0,0,0,0,0,9
217,0,0,0,0,0,0,0,9
218,0,1,0,0,0,0,0,9
219,0,1,0,0,0,0,0,9
220,0,1,0,0,0,0,0,9
221,0,1,0,0,0,0,0,9
222,0,1,0,0,0,0,0,9
223,0,1,0,0,0,0,0,9
224,0,1,0,0,0,0,0,9
225,0,1,0,0,0,0,0,9
226,0,1,0,1,0,1,1,9
227,0,0,0,0,0,0,0,11
228,0,0,0,0,0,0,0,11
229,0,0,0,0,0,0,0,11
230,0,0,0,0,0,0,0,11
231,0,0,0,0,0,0,0,11
232,0,0,0,0,0,0,0,11
233,0,0,0,0,0,0,0,11
234,0,0,0,0,0,0,0,11
235,0,0,0,0,0,0,0,11
236,0,0,0,0,0,0,0,10
237,0,0,0,0,0,0,0,10
238,0,0,0,0,0,0,0,10
239,0,0,0,0,0,0,0,10
240,0,0,0,0,0,0,0,10
241,0,0,0,0,0,0,0,10
242,0,0,0,0,0,0,0,10
243,0,0,0,0,0,0,0,10
244,0,0,0,0,0,0,0,10
245,0,1,0,0,0,0,0,10
246,0,0,0,0,0,0,0,10
247,0,0,0,0,0,0,0,10
248,0,0,0,0,0,0,0,10
249,0,0,0,0,0,0,0,10
250,0,0,1,0,0,0,0,9
251,0,0,0,0,0,0,0,9
252,0,0,0,0,0,0,0,9
253,0,0,0,0,0,0,0,9
254,0,0,0,0,0,0,0,9
255,0,0,0,0,0,0,0,9
256,0,0,0,0,1,0,0,9
257,0,0,0,0,0,0,0,10
258,0,0,0,0,0,0,0,10
259,0,0,0,0,0,0,0,10
260,0,0,0,0,0,0,0,10
261,0,0,0,0,0,0,0,10
262,0,0,0,0,0,0,0,10
263,0,0,0,0,0,0,0,10
264,0,0,0,0,0,0,0,10
265,0,0,0,0,0,0,0,10
266,0,0,0,0,0,0,0,10
267,0,0,0,0,0,0,0,10
268,0,0,0,0,0,0,0,10
269,0,0,1,0,0,0,0,9
270,0,0,0,0,0,0,0,9
271,0,0,0,0,0,0,0,9
272,0,0,0,0,0,0,0,9
273,0,0,0,0,0,0,0,9
274,0,0,0,0,0,0,0,8
275,0,0,0,2,0,2,0,8
276,0,0,0,0,0,0,0,12
277,0,0,0,0,0,0,0,12
278,0,0,0,0,0,0,0,12
279,0,1,0,0,0,0,0,12
280,0,0,0,0,0,0,0,12
281,0,0,0,0,0,0,0,12
282,0,0,0,0,0,0,0,12
283,0,0,0,0,0,0,0,12
284,0,0,0,0,0,0,0,11
285,0,0,0,0,0,0,0,11
286,0,0,1,0,0,0,0,10
287,0,0,0,0,0,0,0,10
288,0,0,0,0,0,0,0,10
289,0,0,0,0,0,0,0,10
290,0,0,0,0,0,0,0,10
291,0,0,0,0,0,0,0,10
292,0,0,0,0,0,0,0,10
293,0,0,0,0,0,0,0,10
294,0,0,0,0,0,0,0,10
295,0,0,0,0,0,0,0,10
296,0,0,0,0,0,0,0,10
297,0,0,0,0,0,0,0,10
298,0,0,0,0,0,0,0,10
299,0,0,0,0,0,0,0,10
300,0,0,1,0,0,0,0,9
301,0,0,0,0,0,0,0,9
302,0,0,0,0,0,0,0,9
303,0,0,0,0,0,0,0,9
304,0,0,0,0,0,0,0,9
305,0,0,0,0,0,0,0,9
306,0,0,0,0,0,0,0,9
307,0,0,0,0,0,0,0,9
308,0,0,0,0,0,0,0,9
309,0,0,0,1,0,1,1,9
310,0,1,0,0,0,1,0,10
311,0,0,0,0,0,1,0,10
312,0,0,0,0,0,1,0,10
313,0,0,0,0,0,1,0,10
314,0,0,0,0,0,1,0,10
315,0,0,0,0,0,1,0,10
316,0,0,0,0,0,1,0,10
317,0,0,0,0,0,1,0,10
318,0,0,0,0,0,1,0,10
319,0,0,0,0,0,1,0,10
320,0,0,0,0,0,1,0,10
321,0,0,0,0,0,1,0,10
322,0,0,0,0,0,1,0,10
323,0,1,0,0,0,1,0,10
324,0,0,0,0,0,0,0,11
325,0,0,0,0,0,0,0,11
326,0,0,0,0,0,0,0,11
327,0,0,0,0,0,0,0,11
328,0,0,0,0,0,0,0,11
329,0,0,0,0,0,0,0,11
330,0,0,0,0,0,0,0,11
331,0,0,0,0,0,0,0,11
332,0,0,0,0,0,0,0,11
333,0,0,0,0,0,0,0,9
334,0,0,0,0,0,0,0,9
335,0,0,1,0,0,0,0,7
336,0,0,0,0,0,0,0,7
337,0,0,0,0,0,0,0,7
338,0,0,0,0,0,0,0,7
339,0,0,0,0,0,0,0,7
340,0,0,0,1,0,2,0,7
341,0,0,0,0,0,0,0,10
342,0,0,0,0,0,0,0,10
343,0,0,0,0,0,0,0,10
344,0,0,0,0,0,0,0,10
345,0,0,0,0,0,0,0,10
346,0,0,0,0,0,0,0,10
347,0,0,0,0,0,0,0,10
348,0,0,0,0,0,0,0,10
349,0,0,0,0,0,0,0,10
350,0,0,0,0,0,0,0,10
351,0,0,0,0,0,0,0,10
352,0,0,0,0,0,0,0,10
353,0,0,0,1,1,0,0,10
354,0,0,0,0,0,0,0,12
355,0,0,0,0,0,0,0,12
356,0,0,0,0,0,0,0,12
357,0,0,0,0,0,0,0,12
358,0,0,0,0,0,0,0,12
359,0,0,0,0,0,0,0,12
360,0,1,0,0,0,0,0,12
361,0,0,0,0,0,0,0,12
362,0,0,0,0,0,0,0,12
363,0,0,0,0,0,0,0,12
364,0,0,1,0,0,0,0,10
365,0,0,0,0,0,0,0,10
366,0,0,0,0,0,0,0,10
367,0,0,0,0,0,0,0,10
368,0,0,0,0,0,0,0,10
369,0,0,0,0,0,0,0,10
370,0,0,0,0,0,0,0,10
371,0,1,0,0,0,0,0,10
372,0,0,0,0,0,0,0,10
373,0,0,0,0,0,0,0,10
374,0,0,0,0,0,0,0,10
375,0,0,0,0,0,0,0,10
376,0,0,0,0,0,0,0,10
377,0,0,0,0,0,0,0,10
378,0,0,0,0,0,0,0,10
379,0,0,0,0,0,0,0,10
380,0,0,0,0,0,0,0,10
381,0,0,0,0,0,0,0,10
382,0,0,0,0,0,0,0,10
383,0,0,0,0,0,0,0,9
384,0,0,0,0,0,0,0,9
385,0,0,0,0,0,0,0,9
386,0,0,0,0,0,0,0,9
387,0,0,0,0,0,0,0,9
388,0,0,0,0,0,0,0,9
389,0,0,0,0,0,0,0,9
390,0,0,0,1,0,0,2,9
391,0,0,0,0,0,0,0,10
392,0,0,0,0,0,0,0,10
393,0,0,0,0,0,0,0,10
394,0,0,0,0,0,0,0,10
395,0,0,0,0,0,0,0,10
396,0,0,0,0,0,0,0,10
397,0,0,1,0,0,0,0,9
398,0,0,0,0,0,0,0,8
399,0,0,0,0,0,0,0,8
400,0,0,1,0,0,0,0,6
401,0,0,1,0,1,1,0,6
402,0,0,1,0,0,1,0,7
403,0,0,1,0,0,1,0,7
404,0,0,2,0,0,1,0,5
405,0,0,2,0,0,1,0,5
406,0,0,2,0,0,1,0,5
407,0,0,2,0,0,1,0,5
408,0,0,2,0,0,1,0,5
409,0,1,2,0,0,1,0,5
410,0,0,2,0,0,1,0,5
411,0,0,2,0,0,1,0,5
412,0,0,2,0,0,1,0,5
413,0,0,2,0,0,1,0,5
414,0,0,2,0,0,1,0,5
415,0,0,2,0,0,1,0,5
416,0,0,2,0,0,1,0,5
417,0,0,2,0,0,1,0,5
418,0,0,2,0,0,1,0,5
419,0,1,2,0,0,1,0,5
420,0,0,2,0,0,0,0,6
421,0,0,2,0,0,0,0,6
422,0,0,2,0,0,0,0,6
423,0,0,2,0,0,0,0,6
424,0,0,2,0,0,0,0,6
425,0,0,2,0,0,0,0,6
426,0,0,2,0,0,0,0,6
427,0,0,2,0,0,0,0,6
428,0,0,1,0,0,0,0,6
429,0,0,0,0,0,0,0,6
430,0,0,0,0,0,0,0,6
431,0,0,0,0,0,0,0,6
432,0,0,0,0,0,0,0,6
433,0,0,0,0,0,0,0,6
434,0,0,0,0,0,0,0,6
435,0,0,0,0,0,0,0,6
436,0,0,0,0,0,0,0,6
437,0,0,0,0,0,0,0,6
438,0,0,0,0,0,0,0,6
439,0,0,0,1,0,2,0,6
440,0,0,0,0,0,0,0,9
441,0,0,0,0,0,0,0,8
442,0,0,0,0,0,0,0,8
443,0,0,0,0,0,0,0,8
444,0,0,0,0,0,0,0,8
445,0,0,0,0,0,0,0,8
446,0,0,1,0,0,0,0,7
447,0,0,1,0,0,0,0,7
448,0,0,1,0,0,0,0,7
449,0,0,1,1,0,0,0,7
450,0,0,1,0,0,0,0,8
451,0,0,1,0,0,0,0,8
452,0,0,1,0,0,0,0,8
453,0,0,1,0,0,0,0,8
454,0,0,1,0,0,0,0,8
455,0,0,1,0,0,0,0,8
456,0,0,1,0,0,0,0,8
457,0,0,1,0,0,0,0,8
458,0,0,0,0,0,0,0,8
459,0,0,0,0,0,0,0,8
460,0,0,0,0,0,0,0,8
461,0,1,0,0,0,0,0,8
462,0,0,0,0,0,0,0,8
463,0,0,0,0,0,0,0,8
464,0,0,0,0,0,0,0,8
465,0,0,0,0,0,0,0,8
466,0,0,0,0,0,0,0,8
467,0,0,0,0,0,0,0,8
468,0,0,0,0,0,0,0,8
469,0,0,0,0,0,0,0,8
470,0,0,0,0,0,0,0,8
471,0,0,0,0,0,0,0,8
472,0,0,0,0,0,0,0,8
473,0,0,0,0,0,0,0,8
474,0,0,0,0,0,0,0,8
475,0,0,0,0,0,0,0,8
476,0,0,0,0,0,0,0,8
477,0,0,0,0,0,0,0,8
478,0,0,1,0,0,0,0,7
479,0,0,0,0,0,0,0,6
480,0,0,0,0,0,0,0,6
481,0,0,0,0,0,0,0,6
482,0,0,0,0,0,0,0,6
483,0,0,0,0,0,0,0,6
484,0,0,0,0,0,0,0,6
485,0,0,0,0,0,0,0,6
486,0,0,0,0,0,0,0,6
487,0,0,0,0,0,0,0,6
488,0,0,0,0,0,0,0,6
489,0,0,0,0,0,0,0,6
490,0,0,0,0,0,0,0,6
491,0,0,0,0,1,2,0,6
492,0,0,0,0,0,0,0,9
493,0,0,0,0,0,0,0,9
494,0,0,0,0,0,0,0,9
495,0,0,0,0,0,0,0,9
496,0,0,0,0,0,0,0,9
497,0,0,0,0,0,0,0,8
498,0,1,0,0,0,0,0,8
499,0,0,1,0,0,0,0,6
500,0,0,0,0,0,0,0,6
501,0,0,0,0,0,0,0,6
502,0,0,0,0,0,0,0,6
503,0,0,0,0,0,0,0,6
504,0,0,0,0,0,0,0,6
505,0,0,0,0,0,0,0,6
506,0,0,0,0,0,0,0,6
507,0,0,0,0,0,0,0,6
508,0,0,0,0,0,0,0,6
509,0,0,0,0,0,0,0,6
510,0,0,0,0,0,0,0,6
511,0,0,0,0,0,0,0,6
512,0,0,0,0,0,0,0,6
513,0,0,0,0,0,0,0,6
514,0,0,0,0,0,0,0,6
515,0,0,0,0,0,0,0,6
516,0,0,0,0,0,0,0,6
517,0,0,0,0,0,0,0,6
518,0,0,0,0,0,0,0,6
519,0,0,0,0,0,0,0,6
520,0,0,0,0,0,0,0,6
521,0,0,0,0,0,0,0,6
522,0,0,0,0,0,0,0,6
523,0,0,0,0,0,0,0,6
524,0,0,0,0,0,0,0,6
525,0,0,0,0,0,0,0,6
526,0,0,0,0,0,0,0,6
527,0,0,0,0,0,0,0,6
528,0,0,0,1,0,0,0,6
529,0,0,0,0,0,0,0,7
530,0,1,0,0,0,0,0,7
531,0,0,0,0,0,0,0,7
532,0,0,0,0,0,0,0,7
533,0,0,0,0,0,0,0,7
534,0,0,0,0,0,0,0,7
535,0,0,0,0,0,0,0,7
536,0,0,0,0,0,0,0,7
537,0,0,1,0,0,0,0,6
538,0,0,0,0,0,0,0,6
539,0,0,0,0,0,0,0,6
540,0,0,0,0,0,0,0,6
541,0,0,0,0,0,0,0,6
542,0,0,0,0,0,0,0,6
543,0,0,1,0,0,0,0,5
544,0,0,0,0,0,0,0,5
545,0,0,0,0,0,0,0,5
546,0,0,0,0,0,0,0,5
547,0,0,0,0,0,0,0,5
548,0,0,0,0,0,0,0,5
549,0,0,0,0,0,0,0,5
550,0,0,0,0,0,0,0,5
551,0,0,0,0,0,0,0,3
552,0,0,0,0,0,0,0,3
553,0,0,0,0,0,0,0,3
554,0,0,0,0,0,0,0,3
555,0,0,0,0,0,0,0,3
556,0,0,0,0,0,0,0,3
557,0,0,0,0,0,0,0,3
558,0,0,0,0,0,0,0,3
559,0,0,0,0,0,0,0,3
560,0,0,0,2,0,0,2,3
561,0,0,0,0,0,0,0,5
562,0,0,0,0,0,0,0,5
563,0,0,0,0,0,0,0,5
564,0,0,0,0,0,0,0,5
565,0,0,0,0,0,0,0,5
566,0,0,0,0,0,0,0,5
567,0,0,0,0,0,0,0,5
568,0,1,0,0,0,0,0,5
569,0,0,0,0,0,0,0,5
570,0,0,0,0,0,0,0,5
571,0,0,0,0,0,0,0,5
572,0,0,0,0,0,0,0,5
573,0,0,0,0,0,0,0,5
574,0,0,0,0,0,0,0,5
575,0,0,0,0,0,0,0,5
576,0,0,0,0,0,0,0,5
577,0,0,0,0,0,0,0,5
578,0,0,0,0,0,0,0,5
579,0,0,0,0,0,0,0,5
580,0,0,0,0,0,0,0,5
581,0,0,0,0,0,0,0,5
582,0,0,0,0,0,0,0,5
583,0,0,0,0,0,0,0,5
584,0,0,0,0,0,0,0,5
585,0,0,0,0,0,0,0,5
586,0,0,1,0,0,0,0,4
587,0,0,0,0,0,0,0,4
588,0,0,0,0,0,0,0,4
589,0,0,0,0,0,0,0,4
590,0,0,0,0,0,0,0,4
591,0,0,1,0,0,0,0,3
592,0,0,0,0,0,0,0,3
593,0,0,0,0,0,0,0,3
594,0,0,0,0,0,0,0,3
595,0,0,0,0,0,0,0,3
596,0,0,0,0,0,0,0,3
597,0,0,0,0,0,0,0,3
598,0,0,0,1,1,1,1,3
599,0,0,0,0,0,0,0,6
600,0,0,0,0,0,0,0,6
601,0,0,0,0,0,0,0,6
602,0,0,0,0,0,0,0,6
603,0,0,0,0,0,0,0,6
604,0,0,0,0,0,0,0,6
605,0,0,0,0,0,0,0,6
606,0,0,0,0,0,0,0,6
607,0,0,0,0,0,0,0,6
608,0,0,0,0,0,0,0,6
